"id", "quoted_status_id"
"647138252378537988", "647110638825816064"
"647138259101990912", "647092567113383936"
"647138406137503744", "647133498239795200"
"647138704071467008", "647133425166585856"
"647138918224281600", "646925015527620608"
"647139404939685889", "647037473864970240"
"647139452243038209", "647001963805085696"
"647139707508379648", "647139451961937920"
"647139786088689664", "647119604628746240"
"647139825859100672", "647139457452384261"
"647139828107223040", "647119604628746240"
"647139919333302273", "647139771861594116"
"647139929017962496", "646965130144673792"
"647140301384085504", "647119604628746240"
"647140356543410176", "647139812349190144"
"647140591625764864", "647119604628746240"
"647140671393034240", "647130903055982592"
"647140685502644224", "647011182864433152"
"647140734982721536", "647139771861594116"
"647140842692571136", "647140605450133505"
"647140854239494144", "647137913600393216"
"647140882395873280", "646679699423367168"
"647140961248804868", "646925015527620608"
"647141039426404352", "647070828077690884"
"647141088529133568", "647138628746018817"
"647141312119087104", "647140638169931777"
"647141342620069888", "647137214204366848"
"647141392058290176", "647139771861594116"
"647141743096373248", "647126333651296256"
"647141749052321792", "647138504091176960"
"647141953008603136", "641334104160641024"
"647142052111740928", "647054809317679104"
"647142138736738309", "647118756288856064"
"647142308023037953", "647142052111740928"
"647142318567464961", "647138504091176960"
"647142323978174468", "647085725301604352"
"647142445046697984", "647100834195603456"
"647142457961021440", "647075582023454720"
"647142667638468609", "647140638169931777"
"647142799708684289", "647110040705482752"
"647143000485851136", "647130765306818560"
"647143149299757059", "647121891338141696"
"647143270032740352", "647132805751787524"
"647143281017679872", "647113595008995330"
"647143357060378624", "646958580327911424"
"647143391738748929", "245550762149675008"
"647143709637779456", "647113920734478336"
"647144072784781312", "647143511914074112"
"647144156792528896", "647139451961937920"
"647144209460371456", "647141877033078784"
"647144287419912194", "647127716836319233"
"647144340716851200", "647119604628746240"
"647144355485106176", "647138504091176960"
"647144373952598016", "647139498099347456"
"647144731521191936", "646965130144673792"
"647144962300215296", "644420904827662336"
"647145011428098048", "647133425166585856"
"647145015718842368", "645492921890947072"
"647145200230498304", "647142524918857728"
"647145309706055680", "647012312809910272"
"647145343524728832", "645492921890947072"
"647145443441405952", "647117847068606464"
"647145517617692673", "647067683347931136"
"647145715953700864", "647111288905203712"
"647145747318734848", "647002226372800512"
"647146324375248897", "647052150560960512"
"647146358017757184", "647130617289830400"
